scenario,period,risk_fraction,cost_profile,spread_multiplier,slippage_per_ounce,rows,starting_cash,final_equity,net_profit,net_return,n_trades,win_rate,profit_factor,expectancy,max_close_sampled_drawdown,maximum_loss_streak,vault_balance,cost_commission,cost_slippage,cost_spread_proxy,cost_total_proxy,skip_session_closed,skip_warmup,skip_no_signal,skip_min_lot
full_risk3_baseline,full,0.03,baseline,1.0,0.03,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
full_risk3_stress,full,0.03,stress,2.0,0.1,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
full_risk5_baseline,full,0.05,baseline,1.0,0.03,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
full_risk5_stress,full,0.05,stress,2.0,0.1,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
full_risk7p5_baseline,full,0.075,baseline,1.0,0.03,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
full_risk7p5_stress,full,0.075,stress,2.0,0.1,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
full_risk10_baseline,full,0.1,baseline,1.0,0.03,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
full_risk10_stress,full,0.1,stress,2.0,0.1,34890,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,19674,1080.0,12935,1201
development_risk3_baseline,development,0.03,baseline,1.0,0.03,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
development_risk3_stress,development,0.03,stress,2.0,0.1,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
development_risk5_baseline,development,0.05,baseline,1.0,0.03,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
development_risk5_stress,development,0.05,stress,2.0,0.1,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
development_risk7p5_baseline,development,0.075,baseline,1.0,0.03,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
development_risk7p5_stress,development,0.075,stress,2.0,0.1,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
development_risk10_baseline,development,0.1,baseline,1.0,0.03,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
development_risk10_stress,development,0.1,stress,2.0,0.1,21039,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,11823,1080.0,7435,701
validation_risk3_baseline,validation,0.03,baseline,1.0,0.03,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
validation_risk3_stress,validation,0.03,stress,2.0,0.1,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
validation_risk5_baseline,validation,0.05,baseline,1.0,0.03,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
validation_risk5_stress,validation,0.05,stress,2.0,0.1,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
validation_risk7p5_baseline,validation,0.075,baseline,1.0,0.03,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
validation_risk7p5_stress,validation,0.075,stress,2.0,0.1,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
validation_risk10_baseline,validation,0.1,baseline,1.0,0.03,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
validation_risk10_stress,validation,0.1,stress,2.0,0.1,6900,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3900,,2759,241
holdout_risk3_baseline,holdout,0.03,baseline,1.0,0.03,6951,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3951,,2741,259
holdout_risk3_stress,holdout,0.03,stress,2.0,0.1,6951,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3951,,2741,259
holdout_risk5_baseline,holdout,0.05,baseline,1.0,0.03,6951,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3951,,2741,259
holdout_risk5_stress,holdout,0.05,stress,2.0,0.1,6951,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3951,,2741,259
holdout_risk7p5_baseline,holdout,0.075,baseline,1.0,0.03,6951,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3951,,2741,259
holdout_risk7p5_stress,holdout,0.075,stress,2.0,0.1,6951,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3951,,2741,259
holdout_risk10_baseline,holdout,0.1,baseline,1.0,0.03,6951,50.0,50.0,0.0,0.0,0,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,3951,,2741,259
